MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,SECL,SALASAR EXTERIOR CONT LTD,        21.50,        21.00,        21.00,        21.00,        21.00,                   630000.00,30000, ,        43.00,         9.90
N,SM,SECURCRED,SECUR CREDENTIALS LIMITED,        18.40,        17.50,        17.50,        17.50,        17.50,                    10500.00,600, ,        25.55,        12.00
N,SM,SERVOTECH,SERVOTECH POWER SYS LTD.,        17.50,        17.25,        17.50,        17.00,        17.40,                   895000.00,52000, ,        23.80,        13.55
N,SM,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,        15.00,        15.00,        15.00,        15.00,        15.00,                    90000.00,6000, ,        29.90,        12.05
N,SM,SIDDHIKA,SIDDHIKA COATINGS LIMITED,        67.60,        67.60,        68.00,        64.10,        67.95,                  1069700.00,16000, ,        81.50,        45.00
N,SM,SIKKO,SIKKO INDUSTRIES LIMITED,        26.10,        26.50,        26.50,        26.50,        26.50,                   212000.00,8000, ,        33.80,        11.60
N,SM,SILVERTUC,SILVER TOUCH TECHNO LTD,        77.00,        77.00,        77.00,        77.00,        77.00,                    77000.00,1000, ,       102.00,        72.00
N,SM,SKSTEXTILE,S K S TEXTILES LIMITED,        25.20,        23.95,        23.95,        23.95,        23.95,                    23950.00,1000, ,        30.45,        22.10
N,SM,SOFTTECH,SOFTTECH ENGINEER LIMITED,       111.30,       109.00,       109.50,       107.50,       108.00,                  3476080.00,32000, ,       133.40,        35.50
N,SM,SOLEX,SOLEX ENERGY LIMITED,        56.70,        54.00,        54.00,        53.90,        53.90,                   539200.00,10000, ,        68.45,        20.15
N,SM,SONAMCLOCK,SONAM CLOCK LIMITED,        58.45,        57.75,        57.95,        57.75,        57.95,                   520650.00,9000, ,        66.00,        39.00
N,SM,SSINFRA,S S INFRA DEVP CONSL LTD,         8.40,         8.80,         8.80,         8.80,         8.80,                   264000.00,30000, ,        10.20,         5.65
N,SM,TARACHAND,TARA CHAND LOG. SOL. LTD.,        39.50,        39.00,        39.00,        39.00,        39.00,                    78000.00,2000, ,        52.35,        26.00
N,SM,THEJO,THEJO ENGINEERING LIMITED,      2899.00,      2755.00,      2850.00,      2755.00,      2825.00,                   840500.00,300, ,      2980.00,       490.00
N,SM,TRANSWIND,TRANSWIND INFRA LIMITED,         5.50,         5.75,         5.75,         5.75,         5.75,                    46000.00,8000, ,        12.80,         4.75
N,SM,UCL,USHANTI COLOUR CHEM LTD,        54.50,        53.00,        54.00,        51.05,        51.05,                   748100.00,14000, ,        56.00,        24.00
N,SM,VCL,VAXTEX COTFAB LIMITED,        36.50,        36.60,        37.00,        36.60,        37.00,                   330900.00,9000, ,        51.00,        17.00
N,SM,VMARCIND,V MARC INDIA LIMITED,        34.50,        33.25,        33.40,        33.00,        33.40,                   298950.00,9000, ,        45.00,        29.55
N,SM,WEWIN,WE WIN LIMITED,        18.40,        17.50,        17.50,        17.50,        17.50,                    52500.00,3000, ,        60.00,        13.55
N,SM,WFL,WONDER FIBROMATS LIMITED,       110.80,       116.30,       116.30,       116.30,       116.30,                   186080.00,1600, ,       116.30,        42.70
N,SM,ZODIAC,ZODIAC ENERGY LIMITED,        17.40,        16.95,        16.95,        16.95,        16.95,                    67800.00,4000, ,        23.75,        11.50
N,ST,AILIMITED,ABHISHEK INTEGRATIONS LTD,        31.00,        29.45,        29.45,        29.45,        29.45,                   176700.00,6000, ,        40.00,        29.45
